,url,prize,photographer,year
1743,https://www.worldpressphoto.org/collection/photo-contest/2003/patrick-andrade-gn/1,"Singles, 3rd prize",Patrick Andrade,2003
1744,https://www.worldpressphoto.org/collection/photo-contest/2003/jan-dago/1,"Stories, 1st prize",Jan Dago,2003
1745,https://www.worldpressphoto.org/collection/photo-contest/2003/ami-vitale/1,"Stories, 3rd prize",Ami Vitale,2003
1746,https://www.worldpressphoto.org/collection/photo-contest/2003/antonin-kratochvil-na/1,"Singles, 1st prize",Antonin Kratochvil,2003
1747,https://www.worldpressphoto.org/collection/photo-contest/2003/michael-nick-nichols/1,"Stories, 1st prize",Michael 'Nick' Nichols,2003
1748,https://www.worldpressphoto.org/collection/photo-contest/2003/michael-amendolia/1,"Singles, 3rd prize",Michael Amendolia,2003
1749,https://www.worldpressphoto.org/collection/photo-contest/2003/jackie-ranken/1,"Stories, 2nd prize",Jackie Ranken,2003
1750,https://www.worldpressphoto.org/collection/photo-contest/2003/nick-moir/1,"Stories, 3rd prize",Nick Moir,2003
1751,https://www.worldpressphoto.org/collection/photo-contest/2003/patrick-andrade-ot/1,"Singles, Individual awards",Patrick Andrade,2003
1752,https://www.worldpressphoto.org/collection/photo-contest/2003/carlos-spottorno/1,"Singles, 2nd prize",Carlos Spottorno,2003
1753,https://www.worldpressphoto.org/collection/photo-contest/2003/antonin-kratochvil-gn/1,"Singles, 1st prize",Antonin Kratochvil,2003
1754,https://www.worldpressphoto.org/collection/photo-contest/2003/scott-lewis/1,"Singles, 1st prize",Scott Lewis,2003
1755,https://www.worldpressphoto.org/collection/photo-contest/2003/brenda-ann-kenneally/1,"Stories, 2nd prize",Brenda Ann Kenneally,2003
1756,https://www.worldpressphoto.org/collection/photo-contest/2003/casper-dalhoff/1,"Stories, 1st prize",Casper Dalhoff,2003
1757,https://www.worldpressphoto.org/collection/photo-contest/2003/mona-reeder/1,"Singles, 3rd prize",Mona Reeder,2003
1758,https://www.worldpressphoto.org/collection/photo-contest/2003/joachim-ladefoged/1,"Singles, 2nd prize",Joachim Ladefoged,2003
1759,https://www.worldpressphoto.org/collection/photo-contest/2003/christophe-gin/1,"Singles, 1st prize",Christophe Gin,2003
1760,https://www.worldpressphoto.org/collection/photo-contest/2003/patrick-andrade-ca/1,"Singles, Individual awards",Patrick Andrade,2003
1761,https://www.worldpressphoto.org/collection/photo-contest/2003/fernando-moleres/1,"Stories, 3rd prize",Fernando Moleres,2003
1762,https://www.worldpressphoto.org/collection/photo-contest/2003/alexandra-boulat/1,"Stories, 2nd prize",Alexandra Boulat,2003
1763,https://www.worldpressphoto.org/collection/photo-contest/2003/peter-bialobrzeski/1,"Stories, 1st prize",Peter Bialobrzeski,2003
