initial index,Path,Colors_RGB
263,F:\Temp\1966\Ben Meerendonk\5.jpg,"[[160, 160, 160], [68, 68, 68], [114, 114, 114], [38, 38, 38], [196, 196, 196]]"
264,F:\Temp\1966\Ben Meerendonk\2.jpg,"[[158, 158, 158], [19, 19, 19], [114, 114, 114], [208, 208, 208], [64, 64, 64]]"
265,F:\Temp\1966\Larry Burrows\1.jpg,"[[213, 128, 62], [5, 9, 10], [251, 229, 135], [90, 78, 62], [22, 51, 51]]"
266,F:\Temp\1966\Kyoichi Sawada\2.jpg,"[[163, 163, 163], [74, 74, 74], [32, 32, 32], [200, 200, 200], [120, 120, 120]]"
267,F:\Temp\1966\Ben Meerendonk\1.jpg,"[[219, 219, 219], [16, 16, 16], [96, 96, 96], [150, 150, 150], [52, 52, 52]]"
268,F:\Temp\1966\Lajos Keresztes\1.jpg,"[[170, 167, 143], [116, 113, 93], [203, 200, 174], [139, 137, 115], [97, 93, 74]]"
269,F:\Temp\1966\Gérard Klijn\1.jpg,"[[37, 37, 37], [230, 230, 230], [128, 128, 128], [177, 177, 177], [82, 82, 82]]"
270,F:\Temp\1966\Shisei Kuwabara\1.jpg,"[[23, 23, 23], [215, 215, 215], [102, 102, 102], [59, 59, 59], [159, 159, 159]]"
271,F:\Temp\1966\Kyoichi Sawada\2.jpg,"[[163, 163, 163], [74, 74, 74], [32, 32, 32], [200, 200, 200], [120, 120, 120]]"
272,F:\Temp\1966\Lev Porter\2.jpg,"[[23, 28, 24], [193, 195, 187], [240, 240, 237], [73, 77, 69], [141, 143, 135]]"
273,F:\Temp\1966\Hans-Dietrich Kaiser\1.jpg,"[[117, 117, 117], [203, 203, 203], [30, 30, 30], [80, 80, 80], [156, 156, 156]]"
274,F:\Temp\1966\Shisei Kuwabara\1.jpg,"[[23, 23, 23], [215, 215, 215], [102, 102, 102], [59, 59, 59], [159, 159, 159]]"
275,F:\Temp\1966\Eddie Adams\1.jpg,"[[53, 53, 53], [187, 187, 187], [96, 96, 96], [232, 232, 232], [142, 142, 142]]"
276,F:\Temp\1966\Gérard Klijn\1.jpg,"[[37, 37, 37], [230, 230, 230], [128, 128, 128], [177, 177, 177], [82, 82, 82]]"
277,F:\Temp\1966\Viacheslav Un Da-sin\1.jpg,"[[241, 241, 241], [108, 107, 105], [181, 180, 178], [34, 34, 32], [216, 215, 215]]"
278,F:\Temp\1966\Arthur Bastiaanse\1.jpg,"[[28, 28, 28], [156, 156, 156], [186, 186, 186], [104, 104, 104], [58, 58, 58]]"
279,F:\Temp\1966\Shisei Kuwabara\2.jpg,"[[121, 121, 121], [73, 73, 73], [163, 163, 163], [30, 30, 30], [202, 202, 202]]"
280,F:\Temp\1966\Arthur Bastiaanse\1.jpg,"[[28, 28, 28], [156, 156, 156], [186, 186, 186], [104, 104, 104], [58, 58, 58]]"
281,F:\Temp\1966\Shisei Kuwabara\3.jpg,"[[101, 101, 101], [67, 67, 67], [140, 140, 140], [33, 33, 33], [192, 192, 192]]"
282,F:\Temp\1966\Ben Meerendonk\5.jpg,"[[160, 160, 160], [68, 68, 68], [114, 114, 114], [38, 38, 38], [196, 196, 196]]"
283,F:\Temp\1966\Ben Meerendonk\3.jpg,"[[180, 180, 180], [24, 24, 24], [218, 218, 218], [71, 71, 71], [130, 130, 130]]"
284,F:\Temp\1966\Ben Meerendonk\4.jpg,"[[67, 67, 67], [188, 188, 188], [44, 44, 44], [141, 141, 141], [94, 94, 94]]"
285,F:\Temp\1966\Ekkehart Sachse\1.jpg,"[[69, 69, 69], [205, 205, 205], [27, 27, 27], [121, 121, 121], [170, 170, 170]]"
286,F:\Temp\1966\Mogens Berger\1.jpg,"[[208, 208, 208], [31, 31, 31], [137, 137, 137], [84, 84, 84], [178, 178, 178]]"
287,F:\Temp\1966\Lev Porter\1.jpg,"[[25, 29, 24], [187, 189, 181], [129, 130, 121], [240, 241, 237], [75, 77, 69]]"
288,F:\Temp\1966\Ben Meerendonk\4.jpg,"[[67, 67, 67], [188, 188, 188], [44, 44, 44], [141, 141, 141], [94, 94, 94]]"
289,F:\Temp\1966\Ben Meerendonk\1.jpg,"[[219, 219, 219], [16, 16, 16], [96, 96, 96], [150, 150, 150], [52, 52, 52]]"
290,F:\Temp\1966\Lev Porter\3.jpg,"[[239, 238, 234], [59, 63, 56], [139, 141, 131], [203, 203, 195], [20, 25, 22]]"
291,F:\Temp\1966\Kyoichi Sawada\1.jpg,"[[47, 47, 47], [195, 195, 195], [84, 84, 84], [159, 159, 159], [118, 118, 118]]"
292,F:\Temp\1966\Shisei Kuwabara\4.jpg,"[[22, 22, 22], [142, 142, 142], [57, 57, 57], [189, 189, 189], [98, 98, 98]]"
293,F:\Temp\1966\Viacheslav Un Da-sin\1.jpg,"[[241, 241, 241], [108, 107, 105], [181, 180, 178], [34, 34, 32], [216, 215, 215]]"
294,F:\Temp\1966\Ben Meerendonk\2.jpg,"[[158, 158, 158], [19, 19, 19], [114, 114, 114], [208, 208, 208], [64, 64, 64]]"
